channelId,videoId,Followers,videoAge,videoLength,sceneNumber,averageSceneLength,format,orientation
UCd6MoB9NC6uYN2grvUNT-Zg,0nJG5axbhk4,815000,25,198,30,6.57,640x360,horizontal
UCd6MoB9NC6uYN2grvUNT-Zg,9NfWmOrSsmI,815000,25,33,2,16.2,360x640,vertical
UCd6MoB9NC6uYN2grvUNT-Zg,IBaU9Ify-bE,815000,25,31,2,15.02,360x640,vertical
UCd6MoB9NC6uYN2grvUNT-Zg,usFIb9aEd1U,815000,25,417,61,6.83,640x360,horizontal
UCd6MoB9NC6uYN2grvUNT-Zg,YDqTaZ4dpXc,815000,25,108,2,53.58,640x360,horizontal
UCd6MoB9NC6uYN2grvUNT-Zg,FsoEqk5IyS0,815000,26,1560,83,18.79,640x360,horizontal
UCd6MoB9NC6uYN2grvUNT-Zg,_XbXGkuSuvI,815000,26,16,3,5.12,360x640,vertical
UCd6MoB9NC6uYN2grvUNT-Zg,X1_tEKQ4_R0,815000,26,31,2,15.02,360x640,vertical
UCd6MoB9NC6uYN2grvUNT-Zg,pisDsIgXGUI,815000,26,87,7,12.3,640x360,horizontal
UCd6MoB9NC6uYN2grvUNT-Zg,34zbNg7DdB8,815000,26,30,2,15.0,360x640,vertical
