videoId,frames_analyzed,analysis_date,humanPresence,faceSum,Gender,Smile,motionMagnitude,motionDirection,Saturation,Brightness,video_id,method,performance
JEennqZTfQA,25,2025-08-13 18:36:29,1.0,1.0,1.0,1.0,0.945,0.485,0.249,0.604,JEennqZTfQA,yolo_production,"{'total_time': 2.780425786972046, 'analysis_fps': 8.99142862116296, 'detection_fps': np.float64(44.73340667761088), 'gpu_used': True}"
nJSi6P4P15s,25,2025-08-13 18:36:30,1.0,2.0,0.5,0.0,0.125,0.449,0.625,0.579,nJSi6P4P15s,yolo_production,"{'total_time': 2.733083963394165, 'analysis_fps': 9.147175986848561, 'detection_fps': np.float64(40.79676085734177), 'gpu_used': True}"
NdpUnyf4bl8,25,2025-08-13 18:36:31,0.0,,,0.0,0.689,0.485,0.056,0.867,NdpUnyf4bl8,yolo_production,"{'total_time': 1.9356896877288818, 'analysis_fps': 12.915293271687652, 'detection_fps': np.float64(48.723038155660795), 'gpu_used': True}"
ilqSaeQ_Ebc,25,2025-08-13 18:36:31,1.0,1.0,0.0,1.0,0.661,0.511,0.211,0.787,ilqSaeQ_Ebc,yolo_production,"{'total_time': 2.1195006370544434, 'analysis_fps': 11.795231179898828, 'detection_fps': np.float64(46.92166305886038), 'gpu_used': True}"
YJWghp6tlYg,25,2025-08-13 18:36:31,1.0,2.0,0.5,0.0,0.74,0.498,0.182,0.805,YJWghp6tlYg,yolo_production,"{'total_time': 2.321284055709839, 'analysis_fps': 10.769901227084036, 'detection_fps': np.float64(44.730580991086036), 'gpu_used': True}"
XMuChIgYnvE,25,2025-08-13 18:36:32,1.0,2.0,0.5,1.0,0.657,0.553,0.235,0.649,XMuChIgYnvE,yolo_production,"{'total_time': 2.791734457015991, 'analysis_fps': 8.955006425189099, 'detection_fps': np.float64(41.055359955666255), 'gpu_used': True}"
h7fKAwWdGAg,25,2025-08-13 18:36:33,0.0,,,0.0,0.898,0.578,0.194,0.896,h7fKAwWdGAg,yolo_production,"{'total_time': 2.0088143348693848, 'analysis_fps': 12.445152130809305, 'detection_fps': np.float64(46.98572916873118), 'gpu_used': True}"
CRPuhATcQLs,25,2025-08-13 18:36:33,0.0,,,0.0,0.813,0.435,0.149,0.266,CRPuhATcQLs,yolo_production,"{'total_time': 2.053651809692383, 'analysis_fps': 12.173436549472697, 'detection_fps': np.float64(46.38943130655541), 'gpu_used': True}"
wysbuR3E2kU,25,2025-08-13 18:36:34,1.0,1.0,1.0,1.0,0.786,0.482,0.175,0.796,wysbuR3E2kU,yolo_production,"{'total_time': 2.124044179916382, 'analysis_fps': 11.770000001122474, 'detection_fps': np.float64(45.94669349687627), 'gpu_used': True}"
zhqn_P-FGqU,25,2025-08-13 18:36:34,0.0,,,0.0,0.662,0.53,0.233,0.623,zhqn_P-FGqU,yolo_production,"{'total_time': 2.0617706775665283, 'analysis_fps': 12.12549982983901, 'detection_fps': np.float64(45.81383314141292), 'gpu_used': True}"
UB2FNonsV-Q,25,2025-08-13 18:36:35,1.0,1.0,1.0,1.0,0.918,0.521,0.184,0.579,UB2FNonsV-Q,yolo_production,"{'total_time': 2.5056333541870117, 'analysis_fps': 9.977517244581701, 'detection_fps': np.float64(46.57750138811771), 'gpu_used': True}"
NSnUAr3HzfE,25,2025-08-13 18:36:36,1.0,3.0,0.5,1.0,0.96,0.517,0.419,0.381,NSnUAr3HzfE,yolo_production,"{'total_time': 2.317326545715332, 'analysis_fps': 10.788293970146011, 'detection_fps': np.float64(48.91428509914333), 'gpu_used': True}"
MzAsfr0KWGk,25,2025-08-13 18:36:36,1.0,5.0,0.0,1.0,1.0,0.485,0.45,0.381,MzAsfr0KWGk,yolo_production,"{'total_time': 2.2162537574768066, 'analysis_fps': 11.280296723991738, 'detection_fps': np.float64(51.235938670172224), 'gpu_used': True}"
-KQrYs_bYgc,25,2025-08-13 18:36:37,1.0,2.0,0.0,1.0,0.962,0.469,0.21,0.565,-KQrYs_bYgc,yolo_production,"{'total_time': 2.3440706729888916, 'analysis_fps': 10.665207447914892, 'detection_fps': np.float64(48.767188781150494), 'gpu_used': True}"
MrD9tCNpOvU,25,2025-08-13 18:36:38,0.0,,,0.0,0.593,0.358,0.057,0.943,MrD9tCNpOvU,yolo_production,"{'total_time': 1.9130663871765137, 'analysis_fps': 13.068025327075759, 'detection_fps': np.float64(48.422555236493764), 'gpu_used': True}"
W58iH9pnYBo,25,2025-08-13 18:36:38,1.0,1.0,1.0,1.0,0.918,0.418,0.22,0.545,W58iH9pnYBo,yolo_production,"{'total_time': 2.705726385116577, 'analysis_fps': 9.239663011573459, 'detection_fps': np.float64(48.4298882468198), 'gpu_used': True}"
SU-i6T_WNJo,25,2025-08-13 18:36:39,1.0,2.0,0.0,1.0,0.632,0.544,0.235,0.401,SU-i6T_WNJo,yolo_production,"{'total_time': 2.8914554119110107, 'analysis_fps': 8.646164798881365, 'detection_fps': np.float64(44.73753575761007), 'gpu_used': True}"
NesMt5cgT0s,25,2025-08-13 18:36:39,0.0,,,0.0,0.725,0.448,0.439,0.38,NesMt5cgT0s,yolo_production,"{'total_time': 1.8850233554840088, 'analysis_fps': 13.262435145574557, 'detection_fps': np.float64(53.9032615228876), 'gpu_used': True}"
VChl1eHNu3I,25,2025-08-13 18:36:39,0.0,,,0.0,0.961,0.455,0.097,0.792,VChl1eHNu3I,yolo_production,"{'total_time': 1.9398150444030762, 'analysis_fps': 12.887826636942622, 'detection_fps': np.float64(48.862473692912445), 'gpu_used': True}"
IWmlhoLFEjs,25,2025-08-13 18:36:40,0.0,,,0.0,0.942,0.414,0.096,0.79,IWmlhoLFEjs,yolo_production,"{'total_time': 1.9731471538543701, 'analysis_fps': 12.67011431517649, 'detection_fps': np.float64(50.4737899577194), 'gpu_used': True}"
Kdra4ed3Pm4,25,2025-08-13 18:36:41,0.0,,,0.0,0.93,0.516,0.102,0.418,Kdra4ed3Pm4,yolo_production,"{'total_time': 1.8770396709442139, 'analysis_fps': 13.318844767635712, 'detection_fps': np.float64(52.433917348664316), 'gpu_used': True}"
Nm1wLiM6oSs,25,2025-08-13 18:36:41,0.0,,,0.0,0.655,0.483,0.157,0.941,Nm1wLiM6oSs,yolo_production,"{'total_time': 1.9403550624847412, 'analysis_fps': 12.8842398400971, 'detection_fps': np.float64(48.67336878995789), 'gpu_used': True}"
dKn8uZc06OM,25,2025-08-13 18:36:41,1.0,2.0,1.0,1.0,0.923,0.468,0.666,0.138,dKn8uZc06OM,yolo_production,"{'total_time': 2.6994240283966064, 'analysis_fps': 9.261234891966716, 'detection_fps': np.float64(46.136101874180305), 'gpu_used': True}"
laEvtQCNB4k,25,2025-08-13 18:36:43,1.0,2.0,0.0,1.0,0.859,0.458,0.626,0.304,laEvtQCNB4k,yolo_production,"{'total_time': 2.596604347229004, 'analysis_fps': 9.627958925155092, 'detection_fps': np.float64(44.495834479201775), 'gpu_used': True}"
