videoId,titleSentiment,titleTechnicality,descriptionSentiment,descriptionTechnicality,hashtagsDescription,URLDescription,scriptSentiment,scriptTechnicality,analysis_date
0nJG5axbhk4,0.649,0.698,0.423,0.394,0.3,0.667,0.393,0.278,2025-08-13 18:17:11
9NfWmOrSsmI,0.496,0.251,0.276,0.368,0.0,0.067,0.406,0.347,2025-08-13 18:17:12
IBaU9Ify-bE,0.529,0.582,0.779,0.278,0.0,0.067,0.757,0.254,2025-08-13 18:17:13
_XbXGkuSuvI,0.604,0.428,0.59,0.369,0.5,0.733,0.582,0.112,2025-08-13 18:17:14
34zbNg7DdB8,0.54,0.351,0.341,0.415,0.0,0.067,0.441,0.282,2025-08-13 18:17:14
q9_vtQJRBCo,0.581,0.255,0.639,0.146,0.0,0.0,0.397,0.16,2025-08-13 18:17:15
X1_tEKQ4_R0,0.625,0.255,0.333,0.349,0.0,0.067,0.465,0.153,2025-08-13 18:17:15
Wp0LKeZhcTM,0.54,0.351,0.645,0.336,0.7,0.733,0.502,0.271,2025-08-13 18:17:17
pisDsIgXGUI,0.625,0.255,0.337,0.322,0.5,0.733,0.632,0.202,2025-08-13 18:17:18
YDqTaZ4dpXc,0.529,0.582,0.693,0.273,0.3,0.8,0.286,0.204,2025-08-13 18:17:18
H7faxHY1ykg,0.362,0.255,0.305,0.336,0.6,0.733,0.347,0.17,2025-08-13 18:17:19
h7n1uqHNjhY,0.581,0.255,0.639,0.279,0.4,0.667,0.257,0.126,2025-08-13 18:17:19
9iX8aJ-nxPI,0.5,0.178,0.369,0.427,0.8,0.267,0.255,0.281,2025-08-13 18:17:23
GF5Uh8aHU8k,0.301,0.41,0.366,0.411,0.3,0.733,0.365,0.348,2025-08-13 18:17:25
UR-7721EHTA,0.411,0.257,0.455,0.337,0.3,0.667,0.501,0.219,2025-08-13 18:17:25
memxQvb6Npg,0.39,0.273,0.439,0.34,0.3,0.667,0.454,0.142,2025-08-13 18:17:28
peDzfGECkQU,0.311,0.27,0.397,0.337,0.3,0.667,0.256,0.17,2025-08-13 18:17:29
m9MWN9XpX5Y,0.399,0.275,0.411,0.356,0.3,0.667,0.309,0.273,2025-08-13 18:17:30
UqJdMuCWNK0,0.366,0.263,0.449,0.334,0.3,0.667,0.712,0.176,2025-08-13 18:17:31
806tllrnyj8,0.34,0.274,0.417,0.33,0.3,0.667,0.646,0.39,2025-08-13 18:17:32
usFIb9aEd1U,0.511,0.575,0.447,0.362,0.3,0.8,0.653,0.186,2025-08-13 18:17:36
c4Aaf6dqDSo,0.34,0.45,0.529,0.377,0.5,0.733,0.535,0.121,2025-08-13 18:17:37
ULDmHcqijA0,0.5,0.374,0.518,0.36,0.3,0.267,0.76,0.249,2025-08-13 18:17:41
aS1EU_kkGcI,0.603,0.232,0.473,0.381,0.7,0.733,0.445,0.195,2025-08-13 18:17:44
s_ymzIn5nbA,0.473,0.306,0.556,0.347,0.3,0.267,0.564,0.254,2025-08-13 18:17:48
4luChsGIHiw,0.349,0.253,0.434,0.37,0.3,0.667,0.357,0.196,2025-08-13 18:17:50
lMRuybJwoAo,0.508,0.29,0.362,0.358,0.5,0.733,0.592,0.245,2025-08-13 18:17:56
MoSYsGbw4BI,0.407,0.07,0.531,0.261,0.3,0.8,0.509,0.168,2025-08-13 18:17:57
dLvR_TC5zdI,0.596,0.249,0.396,0.38,0.3,0.733,0.703,0.166,2025-08-13 18:18:04
kJG2BwckBI4,0.673,0.061,0.72,0.374,0.3,0.733,0.714,0.098,2025-08-13 18:18:04
8ZM68yGk_FI,0.77,0.199,0.614,0.387,0.3,0.733,0.249,0.259,2025-08-13 18:18:05
MYRPEHzKN6E,0.523,0.078,0.513,0.322,1.0,1.0,0.531,0.155,2025-08-13 18:18:06
IGSB6CyX5qc,0.648,0.214,0.529,0.318,0.8,0.733,0.66,0.059,2025-08-13 18:18:08
u81NapG8yL0,0.662,0.363,0.53,0.374,0.6,0.8,0.722,0.186,2025-08-13 18:18:15
zMyPTryV6E0,0.464,0.472,0.614,0.483,0.5,0.867,0.455,0.452,2025-08-13 18:18:17
-brZztfD8Sc,0.403,0.47,0.512,0.407,0.3,0.733,0.297,0.571,2025-08-13 18:18:22
JGQ8fA8mCKs,0.464,0.055,0.458,0.256,0.3,0.733,,,2025-08-13 18:18:27
d2CEWJzzhxE,0.496,0.359,0.532,0.33,0.4,0.733,0.416,0.171,2025-08-13 18:18:28
2TArYW1C3WU,0.565,0.25,0.573,0.277,0.5,0.733,0.574,0.169,2025-08-13 18:18:34
_SKHdEYGzrw,0.58,0.278,0.498,0.286,0.7,0.733,0.63,0.13,2025-08-13 18:18:53
D_Gu_0kKOc8,0.47,0.05,0.448,0.3,1.0,0.733,0.777,0.087,2025-08-13 18:19:02
FsoEqk5IyS0,0.604,0.428,0.59,0.369,0.5,0.733,0.616,0.115,2025-08-13 18:19:04
AfRVOmb65Og,0.603,0.06,0.444,0.293,1.0,0.733,0.702,0.121,2025-08-13 18:19:05
FXoUnfrrqu8,0.541,0.478,0.67,0.391,1.0,0.8,0.642,0.211,2025-08-13 18:19:08
Bz3z9CTPmoY,0.395,0.228,0.377,0.332,0.7,0.733,0.615,0.13,2025-08-13 18:19:13
U92nV525J1U,0.44,0.227,0.414,0.299,1.0,0.733,0.5,0.096,2025-08-13 18:19:14
L49oPDfaisI,0.608,0.599,0.46,0.328,0.3,0.733,0.606,0.237,2025-08-13 18:19:19
n8TPYwRV1d0,0.218,0.406,0.336,0.414,0.3,0.733,0.245,0.336,2025-08-13 18:19:30
